title,link,points,comments
Evolving OpenAI's Structure,https://openai.com/index/evolving-our-structure/,377 points,435 comments
Show HN: Real-time AI Voice Chat at ~500ms Latency,https://github.com/KoljaB/RealtimeVoiceChat,179 points,90 comments
Analyzing Modern Nvidia GPU Cores,https://arxiv.org/abs/2503.20481,24 points,1 comment
Replacing Kubernetes with systemd (2024),https://blog.yaakov.online/replacing-kubernetes-with-systemd/,123 points,74 comments
“An independent journalist” who won't remain nameless,https://www.thehandbasket.co/p/independent-journalism-legacy-media-credit,73 points,15 comments
Possibly a Serious Possibility,https://kucharski.substack.com/p/possibly-a-serious-possibility,150 points,60 comments
Databricks in talks to acquire startup Neon for about $1B,https://www.upstartsmedia.com/p/scoop-databricks-talks-to-acquire-neon,89 points,51 comments
"How Kim Jong Il Kidnapped a Director, Made a Cult Hit Godzilla Knockoff (2015)",https://www.vanityfair.com/hollywood/2015/04/pulgasari-north-korea-cult-hit,16 points,7 comments
"Show HN: VectorVFS, your filesystem as a vector database",https://vectorvfs.readthedocs.io/en/latest/,204 points,97 comments
How are cyber criminals rolling in 2025?,https://vin01.github.io/piptagole/cybcecrime/security/cybersecurity/2025/05/05/state-cyber-security.html,169 points,61 comments
"Show HN: TextQuery – Query CSV, JSON, XLSX Files with SQL",https://textquery.app/,112 points,42 comments
Technical analysis of the Signal clone used by Trump officials,https://micahflee.com/tm-sgnl-the-obscure-unofficial-signal-app-mike-waltz-uses-to-text-with-trump-officials/,553 points,242 comments
Searching for black swans,https://upgradingcapitalism.substack.com/p/searching-for-black-swans,6 points,2 comments
"As an experienced LLM user, I don't use generative LLMs often",https://minimaxir.com/2025/05/llm-use/,251 points,144 comments
Show HN: Tkintergalactic - Declarative Tcl/Tk UI Library for Python,https://github.com/leontrolski/tkintergalactic,54 points,5 comments
"Dimension 126 Contains Twisted Shapes, Mathematicians Prove",https://www.quantamagazine.org/dimension-126-contains-strangely-twisted-shapes-mathematicians-prove-20250505/,94 points,51 comments
The Beauty of Having a Pi-Hole (2024),https://den.dev/blog/pihole/,170 points,128 comments
The vocal effects of Daft Punk,https://bjango.com/articles/daftpunkvocaleffects/,352 points,84 comments
Kate and Python Language Server,https://akselmo.dev/posts/kate-python-lsp/,48 points,9 comments
Show HN: Klavis AI – Open-source MCP integration for AI applications,https://github.com/Klavis-AI/klavis,56 points,46 comments
The Death of Daydreaming,https://www.afterbabel.com/p/on-the-death-of-daydreaming,527 points,211 comments
Instant (YC S22) Is Hiring a Founding TypeScript Engineer,https://www.instantdb.com/hiring/ts-hacker,0 points,0 comments
Determining favorite t-shirt color using science,https://ostwilkens.se/blog/determining-favorite-shirt-color,6 points,1 comment
Geometrically understanding calculus of inverse functions (2023),https://tobylam.xyz/2023/11/27/inverse-functions-legendre-part-1,99 points,4 comments
A Tektronix TDS 684B Oscilloscope Uses CCD Analog Memory,https://tomverbeure.github.io/2025/05/04/TDS684B-CCD-Memory.html,85 points,51 comments
"History of ""Adventure"" for the Atari 2600",https://www.atariarchive.org/blog/adventure-march-1980/,87 points,15 comments
AWS Built a Security Tool. It Introduced a Security Risk,https://www.token.security/blog/aws-built-a-security-tool-it-introduced-a-security-risk,182 points,72 comments
I decided to pay off a school’s lunch debt,https://www.huffpost.com/entry/utah-school-lunch-debt-relief-free-student-meals_n_681258fbe4b03207b5ba49fa,153 points,186 comments
You can't git clone a team,https://virtualize.sh/blog/you-cant-git-clone-a-team/,75 points,61 comments
Show HN: Bracket – selfhosted tournament system,https://github.com/evroon/bracket,121 points,26 comments
